brand_name,handle_or_page,instagram_url,tiktok_url,website_url,dm_url,niche,market,notes,fit_score,fit_reason,status,first_seen,last_seen,source_urls
🧿Logo A21,@🧿Logo A21,,https://www.tiktok.com/@k_za21,,https://www.tiktok.com/@k_za21,تجارة إلكترونية / محتوى,TN,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Sneaky,@sneaky,,https://www.tiktok.com/@jztt.wehii,,https://www.tiktok.com/@jztt.wehii,تجارة إلكترونية / محتوى,NZ,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Alkanderii💓,@alkanderii💓,,https://www.tiktok.com/@7axll70,,https://www.tiktok.com/@7axll70,تجارة إلكترونية / محتوى,KW,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Babyben2019,@Babyben2019,,https://www.tiktok.com/@babyben2019,,https://www.tiktok.com/@babyben2019,تجارة إلكترونية / محتوى,CA,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
✦°·𝙹𝔸𝑵𝑵𝔸·°✦,@✦°·𝙹𝔸𝑵𝑵𝔸·°✦,,https://www.tiktok.com/@vwix_mae.ash,,https://www.tiktok.com/@vwix_mae.ash,تجارة إلكترونية / محتوى,PH,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
ธิดารักษ์ (เพียงฟ้า),@ธิดารักษ์ (เพียงฟ้า),,https://www.tiktok.com/@pieng_fah,,https://www.tiktok.com/@pieng_fah,تجارة إلكترونية / محتوى,TH,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Jamie 🦋🥀     ✨Xtl🧸,@Jamie 🦋🥀_____✨xtl🧸,,https://www.tiktok.com/@septemberquin5,,https://www.tiktok.com/@septemberquin5,تجارة إلكترونية / محتوى,AE,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Alextk🎿,@AlexTK🎿,,https://www.tiktok.com/@alextk._,,https://www.tiktok.com/@alextk._,تجارة إلكترونية / محتوى,CA,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Papiangel,@Papiangel,,https://www.tiktok.com/@papiangel914,,https://www.tiktok.com/@papiangel914,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Esther Cue,@Esther Cue,,https://www.tiktok.com/@esthercue7,,https://www.tiktok.com/@esthercue7,تجارة إلكترونية / محتوى,AR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
-Kiki-,@-kiki-,,https://www.tiktok.com/@kiki.33.levin,,https://www.tiktok.com/@kiki.33.levin,تجارة إلكترونية / محتوى,AR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Md Emon Khan,@Md Emon Khan,,https://www.tiktok.com/@em55666,https://vt.tiktok.com/ZSR1gfrFm/,https://www.tiktok.com/@em55666,تجارة إلكترونية / محتوى,BD,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
أبو جـــــان,@أبو جـــــان,,https://www.tiktok.com/@k.ln7,,https://www.tiktok.com/@k.ln7,تجارة إلكترونية / محتوى,IQ,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Ekrk,@ekrk,,https://www.tiktok.com/@eeedjejrkebvf8e8e8,,https://www.tiktok.com/@eeedjejrkebvf8e8e8,تجارة إلكترونية / محتوى,FR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Butterfly,@butterfly,,https://www.tiktok.com/@editxs._.butterfy,,https://www.tiktok.com/@editxs._.butterfy,تجارة إلكترونية / محتوى,BR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Parrica08,@parrica08,,https://www.tiktok.com/@parrica08,,https://www.tiktok.com/@parrica08,تجارة إلكترونية / محتوى,ES,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Marco Zuccotti,@Marco Zuccotti,,https://www.tiktok.com/@marcozuccottiart,,https://www.tiktok.com/@marcozuccottiart,تجارة إلكترونية / محتوى,IT,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Bayanaka Garage,@Bayanaka Garage,,https://www.tiktok.com/@bayanaka_garage,,https://www.tiktok.com/@bayanaka_garage,تجارة إلكترونية / محتوى,ID,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Naar Abaya,@Naar Abaya,,https://www.tiktok.com/@eram_mohammad,https://naarabaya.com/,https://www.tiktok.com/@eram_mohammad,تجارة إلكترونية / محتوى,AE,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:14:03+00:00,2026-09-25T09:14:03+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
